OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
75,245486 CERRO GRANDE R1,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,2773,Hectáreas
76,245487 CERRO GRANDE R2,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,203,Hectáreas
77,245488 CERRO GRANDE R3,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,824.0595,Hectáreas
78,245489 CERRO GRANDE R4,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,540,Hectáreas
79,245490 CERRO GRANDE R5,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,784.9733,Hectáreas
80,245491 CERRO GRANDE R6,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,05/03/2053,937.7857,Hectáreas
81,245494 CERRO GRANDE 2 R3,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,23/02/2059,708,Hectáreas
82,245493 CERRO GRANDE 2 R2,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,23/02/2059,652,Hectáreas
83,245492 CERRO GRANDE 2 R1,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GORRION, S. A. DE C. V.",29/05/2017,23/02/2059,564,Hectáreas
2,232023 LA FRUTA,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GAVILAN, S. A. DE C. V.",03/06/2008,02/06/2058,3469.3722,Hectáreas
59,238640 EL CHATO,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINERA GAVILAN, S. A. DE C. V.",11/10/2011,10/10/2061,16120,Hectáreas
10,224307 METEPEC 2,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",22/04/2005,21/04/2055,204.6127,Hectáreas
1,232660 LA FABRICA,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",02/10/2008,01/10/2058,135.7165,Hectáreas
15,127990 EUGENIO YARTE,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",19/01/1961,18/01/2011,92,Hectáreas
16,127991 FAMILIA YARTE,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",19/01/1961,18/01/2011,96,Hectáreas
17,214445 METEPEC,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",06/09/2001,05/09/2051,106.016,Hectáreas
18,213244 ZACATLAN TRES,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",10/04/2001,09/04/2051,24,Hectáreas
51,220965 LA ESCONDIDA,MINERÍA NO METÁLICA,SECRETARÍA DE ECONOMÍA,SAUL ROMERO MARTINEZ,11/11/2003,10/11/2009,225,Hectáreas
101,MINA ECOMINERALI 1,MINERÍA NO METÁLICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"ECOMINERALI MEXICANA, S. A. DE C. V.",28/03/2018,28/03/2038,7.9718,Hectáreas
102,EXTRACCIÓN DE FELDESPATO EN MINA A CIELO ABIERTO DENTRO DEL PREDIO SEGUNDA FRACCIÓN DESPRENDIDAS DEL PREDIO RÚSTICO DENOMINADO RANCHITO VELÁSQUEZ,MINERÍA NO METÁLICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"FELDMEX, S. A. DE C. V.",03/10/2011,03/10/2021,5,Hectáreas
103,"EXTRACCIÓN EN MINA Y LAVADO DE FELDESPATO EN EL PREDIO PROPIEDAD DE LA EMPRESA FELDMEX, S. A. DE C. V.",MINERÍA NO METÁLICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"FELDMEX, S. A. DE C. V.",18/05/2004,18/05/2014,4.3,Hectáreas
3,231055 ATEXCACO III,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S. A. DE C. V.",30/11/2007,29/11/2057,915.3891,Hectáreas
4,230474 CAPULINES I,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S. A. DE C. V.",06/09/2007,05/09/2057,272,Hectáreas
5,230486 GUADALUPE 2,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S. A. DE C. V.",06/09/2007,05/09/2057,171.2199,Hectáreas
6,230586 ACATENO 2,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S. A. DE C. V.",21/09/2007,20/09/2057,420,Hectáreas
9,226438 3 CABEZAS,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S. A. DE C. V.",17/01/2006,16/01/2056,225,Hectáreas
12,222009 TEZIUTLAN 2001,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",27/04/2004,26/04/2054,551.9694,Hectáreas
13,221609 ATEXCACO II,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",04/03/2004,03/03/2054,1991,Hectáreas
14,221610 CAPULINES,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",04/03/2004,03/03/2054,236,Hectáreas
