NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION,PUESTO
"ALMADEN MINERALS, LTD.",empresa,"MINERA GAVILAN, S. A. DE C. V.",parent,
"ALMADEN MINERALS, LTD.",empresa,"MINERA GORRION, S. A. DE C. V.",parent,
"COVIA HOLDINGS, LLC",empresa,"MATERIAS PRIMAS MINERALES DE AHUAZOTEPEC, S. DE R. L. DE C. V.",parent,
"GRUPPO MINERALI MAFFIE, S. P. A.",empresa,"MEXICAN SILICATES, S. A. DE C. V.",parent,
"MEXICAN SILICATES, S. A. DE C. V.",empresa,SAUL ROMERO MARTINEZ,parent,
"FELDMEX, S. A. DE C. V.",empresa,
"MEXICAN SILICATES, S. A. DE C. V.",empresa,"FELDMEX, S. A. DE C. V.",shareholder,
"GRUPPO MINERALI MAFFIE, S. P. A.",empresa,"ECOMINERALI MEXICANA, S. A. DE C. V.",parent,
"AUTLÁN HOLDING, S. A. P. I. DE C. V.",empresa,"COMPAÑIA RECUPERADORA DE ESCORIAS, S. A. DE C. V.",parent,
"AUTLÁN HOLDING, S. A. P. I. DE C. V.",empresa,"GRUPO FERROMINERO, S. A. DE C. V.",parent,
"AUTLÁN HOLDING, S. A. P. I. DE C. V.",empresa,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",parent,
"AUTLÁN HOLDING, S. A. P. I. DE C. V.",empresa,"MINAS DE SANTA MARTHA, S. A.",parent,
"GRUPO COMEXHIDRO, S. DE R. L. de C. V. ",empresa,"DESELEC 1, S. DE R. L. DE C. V.",parent,
"NEOEN, S. A.",empresa,"ENR N.L., S. A. DE C. V.",parent,
"IMPALA, S. A. S.",empresa,"NEOEN, S. A.",parent,
FONDS STRATÉGIQUE DE PARTICIPATIONS,empresa,"NEOEN, S. A.",shareholder,
"BPIFRANCE, S. A.",empresa,"NEOEN, S. A.",shareholder,
CARTUSIA - La familia Barbaro,empresa,"NEOEN, S. A.",shareholder,
LA FINANCIÈRE DE L’ECHIQUIER ,empresa,"NEOEN, S. A.",shareholder,
NORGES BANK INVESTMENT MANAGEMENT,empresa,"NEOEN, S. A.",shareholder,
"BLACK ROCK, INC.",empresa,"NEOEN, S. A.",shareholder,
"SCHRODERS, PLC.",empresa,"NEOEN, S. A.",shareholder,
"CITIGROUP, INC.",empresa,"NEOEN, S. A.",shareholder,
"IBERDROLA, S. A.",empresa,"IBERDROLA RENOVABLES NORTE, S. A. DE C. V.",parent,
TC ENERGY CORPORATION ,empresa,"TRANSPORTADORA DE GAS NATURAL DE LA HUASTECA, S. DE R. L. DE C. V.",parent,
COMISIÓN FEDERAL DE ELECTRICIDAD,empresa,"TRANSPORTADORA DE GAS NATURAL DE LA HUASTECA, S. DE R. L. DE C. V.",shareholder,
"GENERADORA FÉNIX, S. A. P. I. DE C. V.",empresa,
"MOTA-ENGIL MÉXICO, S. A. DE C. V.",empresa,"GENERADORA FÉNIX, S. A. P. I. DE C. V.",parent,
"MOTA-ENGIL, SGPS, S. A.",empresa,"MOTA-ENGIL MÉXICO, S. A. DE C. V.",parent,
SINDICATO MEXICANO DE ELECTRICISTAS,empresa,"GENERADORA FÉNIX, S. A. P. I. DE C. V.",shareholder,
Duane Poliquin ,persona,"ALMADEN MINERALS, LTD.",shareholder,presidente
Morgan Poliquin,persona,"ALMADEN MINERALS, LTD.",shareholder,presidente
Elaine Ellingham ,persona,"ALMADEN MINERALS, LTD.",shareholder,
Kevin O'Kane ,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Kevin O'Kane ,persona,"ALMADEN MINERALS, LTD.",shareholder,
Alfredo Phillips ,persona,"ALMADEN MINERALS, LTD.",shareholder,
Ria Fitzgerald ,persona,"ALMADEN MINERALS, LTD.",shareholder,
Korm Trieu,persona,"ALMADEN MINERALS, LTD.",shareholder,
Doug McDonald ,persona,"ALMADEN MINERALS, LTD.",shareholder,
John A. Thomas ,persona,"ALMADEN MINERALS, LTD.",shareholder,
Shawn Williams,persona,"COVIA HOLDINGS, LLC",boardmember,presidente
J. Donald Sheets ,persona,"COVIA HOLDINGS, LLC",boardmember,vicepresidente
Andrew Eich ,persona,"COVIA HOLDINGS, LLC",boardmember,presidente
Paul Gordon ,persona,"COVIA HOLDINGS, LLC",boardmember,
Robert Kirby ,persona,"COVIA HOLDINGS, LLC",boardmember,
Phil Barkhorn ,persona,"COVIA HOLDINGS, LLC",boardmember,
William Wang ,persona,"COVIA HOLDINGS, LLC",boardmember,
"VOYA INVESTMENT MANAGEMENT, LLC",empresa,"COVIA HOLDINGS, LLC",shareholder,
"SABA CAPITAL MANAGEMENT, LP ",empresa,"COVIA HOLDINGS, LLC",shareholder,
"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",empresa,"COVIA HOLDINGS, LLC",shareholder,
"NEUBERGER BERMAN INVESTMENT ADVISERS, LLC",empresa,"COVIA HOLDINGS, LLC",shareholder,
"FORT WASHINGTON INVESTMENT ADVISORS, INC. ",empresa,"COVIA HOLDINGS, LLC",shareholder,
"NEWFLEET ASSET MANAGEMENT, LLC ",empresa,"COVIA HOLDINGS, LLC",shareholder,
Andrea Bettini,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Sabrina Bozzola,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Paolo Danasino,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Vera Ramon,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Pierangelo Stangalino,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Stefano Tronconi,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Marco Bargioni,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Pier Camillo Baù,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
Giuliano Colavito,persona,"GRUPPO MINERALI MAFFIE, S. P. A.",boardmember,
PAVIM S. R. L. ,empresa,"GRUPPO MINERALI MAFFIE, S. P. A.",shareholder,
